x,y,Temperature
0.000000000000000000e+00,0.000000000000000000e+00,7.879303114617363235e+01
8.000000000000000444e-01,0.000000000000000000e+00,2.747591654235284153e+01
8.000000000000000444e-01,5.999999999999999778e-01,3.000000000000000000e+01
0.000000000000000000e+00,5.999999999999999778e-01,3.000000000000000000e+01
2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.999999999999999778e-01,2.000000000000000111e-01,1.000000000000000000e+02
5.999999999999999778e-01,4.000000000000000222e-01,1.000000000000000000e+02
2.000000000000000111e-01,4.000000000000000222e-01,1.000000000000000000e+02
0.000000000000000000e+00,2.999999999999999889e-01,6.673451165218973813e+01
8.000000000000000444e-01,2.999999999999999889e-01,2.533872624310815169e+01
2.000000000000000111e-01,3.000000000000000444e-01,1.000000000000000000e+02
0.000000000000000000e+00,4.499999999999999556e-01,4.694985154964168572e+01
1.125000000000000167e-01,2.500000000000000000e-01,7.701586938409951699e+01
2.000000000000000111e-01,3.500000000000000333e-01,1.000000000000000000e+02
1.499999999999999944e-01,3.750000000000000555e-01,7.970282080558351367e+01
1.562500000000000000e-01,3.250000000000000111e-01,8.296078555615241612e+01
2.000000000000000111e-01,3.750000000000000000e-01,1.000000000000000000e+02
1.750000000000000167e-01,3.875000000000000111e-01,8.581308177520850222e+01
1.906250000000000167e-01,3.875000000000000111e-01,8.739924457173813721e+01
1.781250000000000056e-01,3.625000000000000444e-01,8.848754512158521379e+01
1.926339285714285809e-01,3.625000000000000444e-01,9.014701310855215866e+01
1.662683823529411686e-01,3.737132352941176516e-01,8.180577956434584053e+01
1.563112745098038381e-01,3.513097426470586648e-01,8.164149830822610454e+01
1.782366071428571341e-01,3.373046875000000333e-01,9.005408364448317116e+01
1.280206459478405723e-01,3.564587081043188443e-01,7.249708769511840956e+01
1.708270853904233499e-01,3.498697691401174148e-01,8.202012462046646135e+01
1.779011864452865743e-01,3.121083262792515023e-01,9.000834279174600283e+01
2.000000000000000111e-01,3.250000000000000666e-01,1.000000000000000000e+02
1.433792122575749395e-01,3.605503533158354590e-01,7.476065188437641496e+01
1.707965014546820592e-01,3.248033189608758864e-01,8.452237757474971147e+01
1.449218796821642452e-01,2.813476535187375283e-01,8.011337938660528835e+01
1.924823799249022749e-01,3.125000000000000555e-01,9.089702047748197344e+01
1.927071707589285698e-01,3.375000000000000222e-01,9.090658829930168849e+01
1.569364756886415524e-01,3.015258137666477212e-01,8.340269855320164538e+01
1.168362260496809274e-01,3.121002586117821442e-01,7.197314024690459178e+01
1.639204813235653202e-01,2.660700500277834446e-01,8.207505616329824250e+01
1.352875667857176001e-01,3.007501513944271787e-01,7.757617108306732234e+01
1.456890205525546156e-01,3.129440255385116942e-01,7.855198187646814745e+01
1.342301164424727355e-01,3.336356465390705739e-01,7.448991922449494041e+01
1.106263466423144937e-01,2.813323505569199634e-01,7.427703939430047342e+01
1.277725133527096713e-01,2.849253420025802397e-01,7.792833602304264673e+01
1.164679100157051672e-01,2.961639724939819085e-01,7.287664258646471183e+01
1.227189521808606659e-01,2.663332833040806258e-01,7.744266916012736601e+01
7.372196240994241534e-02,3.051243069658782225e-01,6.868230969016386211e+01
9.419872531613900091e-02,2.963686984332287722e-01,7.329806593338641107e+01
2.000000000000000111e-01,2.250000000000000056e-01,1.000000000000000000e+02
1.361375052618173098e-01,2.465745422202811343e-01,7.842346209323709161e+01
1.678978731771549049e-01,2.478615081991016877e-01,8.413134441731443758e+01
1.623424060544976510e-01,2.846410036901296237e-01,8.265842840291431060e+01
1.487126393460994067e-01,3.381724969372907341e-01,7.837392318283498582e+01
1.167949827171541610e-01,3.411483057232860827e-01,6.903467815096962568e+01
1.208753203845340241e-01,3.266300462802249061e-01,7.067684966105372268e+01
9.625635023592452044e-02,3.256475017423045570e-01,6.844633447680743643e+01
0.000000000000000000e+00,2.249999999999999778e-01,7.239982191694004143e+01
7.818394940077300070e-02,2.533391428781266996e-01,7.482701923211683948e+01
1.518284906522801847e-01,2.518871588172648113e-01,8.097969713028305705e+01
1.404953060640314888e-01,2.639697845550317279e-01,7.935478198259656324e+01
0.000000000000000000e+00,3.375000000000000222e-01,6.211920627948266826e+01
8.854876894858509928e-02,3.114774635732811547e-01,6.953539063289122168e+01
7.197797383560763929e-02,3.296721319827842223e-01,6.635451837363943639e+01
0.000000000000000000e+00,3.750000000000000000e-01,5.886491149325566141e+01
1.038041756737537596e-01,3.624437873748276306e-01,6.577363770323444214e+01
0.000000000000000000e+00,1.499999999999999944e-01,7.573551141208908177e+01
1.523999313831455593e-01,2.166375845986490967e-01,8.512950978900478560e+01
